,Adam Simple-Sum,Adam + ConFIG,ConFIG improvement vs Adam (%)
Final total loss,0.001381015870720148,0.0016143247485160828,-16.89400409817686
Final data loss,0.0009660298237577081,0.0012535309651866555,-29.761104094137803
Final physics loss,0.00041498610517010093,0.00036079372512176633,13.058842060777284
Min total loss,0.001381015870720148,0.0016143247485160828,-16.89400409817686
Min data loss,0.0009660298237577081,0.0012535309651866555,-29.761104094137803
Min physics loss,0.00041498610517010093,0.0003398596018087119,18.10337802288465
Mean total loss,0.021243182934202843,0.023099791011911366,-8.739782938644607
Mean data loss,0.01720189074132739,0.020952769880192262,-21.805039895140244
Mean physics loss,0.00404129238132996,0.0021470211760952406,46.872906647039684
Final ||g_data||,0.04093741625547409,0.1035270020365715,
Final ||g_physics||,0.03543712943792343,0.10388586670160294,
Mean cosine,-0.7234971752334939,-0.35922014975164196,
Sampled conflict rate,0.8712871287128713,0.693069306930693,
Late mean cosine (step>=700),-0.5395763530846565,0.07782385173824526,
Late conflict rate (step>=700),0.7419354838709677,0.41935483870967744,
