metric,method,n,mean,std
u_relative_l2,Adam Simple-Sum,3,0.04353709819210579,0.012063086143822451
u_relative_l2,Adam + ConFIG,3,0.0375663997440752,0.00566259224305482
v_relative_l2,Adam Simple-Sum,3,0.14090229736434404,0.019650399195862304
v_relative_l2,Adam + ConFIG,3,0.13982233828615764,0.024072400795855545
p_raw_relative_l2,Adam Simple-Sum,3,8.636267988825136,8.741015333074811
p_raw_relative_l2,Adam + ConFIG,3,4.099327978975201,5.3520884091714285
p_mean_aligned_relative_l2,Adam Simple-Sum,3,0.2793824215891405,0.07101922900672543
p_mean_aligned_relative_l2,Adam + ConFIG,3,0.23455440825089768,0.07308250980374864
final_physics_loss,Adam Simple-Sum,3,0.00043457716431779164,4.315862590152891e-05
final_physics_loss,Adam + ConFIG,3,0.0003909318281027178,0.00010616213618658546
mean_physics_loss,Adam Simple-Sum,3,0.004241030077333178,0.00030227772278922815
mean_physics_loss,Adam + ConFIG,3,0.0024232858770431662,0.0003515185951378155
mean_cosine,Adam Simple-Sum,3,-0.7001652843242038,0.024283423715460106
mean_cosine,Adam + ConFIG,3,-0.379514516194477,0.0838088315055375
sampled_conflict_rate,Adam Simple-Sum,3,0.8547854785478548,0.015124012194573743
sampled_conflict_rate,Adam + ConFIG,3,0.6930693069306931,0.04950495049504949
late_mean_cosine,Adam Simple-Sum,3,-0.4210589840126935,0.13329618882603408
late_mean_cosine,Adam + ConFIG,3,0.0792140911473462,0.09151909886976058
late_conflict_rate,Adam Simple-Sum,3,0.6881720430107526,0.04927500747264346
late_conflict_rate,Adam + ConFIG,3,0.40860215053763443,0.04927500747264343
wall_time_min,Adam Simple-Sum,3,10.986557226657867,0.31689591595374905
wall_time_min,Adam + ConFIG,3,11.216327337635889,0.1615276886611911
peak_vram_mib,Adam Simple-Sum,3,8535.081028645835,0.0008908334232056882
peak_vram_mib,Adam + ConFIG,3,7661.774270833333,8.154260653487185
