threshold,method,n_crossed,mean_first_sampled_step,std_first_sampled_step
0.01,Adam Simple-Sum,3,63.333333333333336,5.773502691896258
0.01,Adam + ConFIG,3,36.666666666666664,5.773502691896258
0.005,Adam Simple-Sum,3,163.33333333333334,5.773502691896257
0.005,Adam + ConFIG,3,73.33333333333333,5.773502691896257
0.002,Adam Simple-Sum,3,383.3333333333333,23.09401076758503
0.002,Adam + ConFIG,3,126.66666666666667,5.773502691896257
0.001,Adam Simple-Sum,3,606.6666666666666,25.16611478423583
0.001,Adam + ConFIG,3,166.66666666666666,5.773502691896257
0.0005,Adam Simple-Sum,3,920.0,43.58898943540674
0.0005,Adam + ConFIG,3,790.0,103.92304845413264
